Day_Treatment_pH,Bean ,Length_mm
04_7.0,1,0
04_7.0,2,0
04_7.0,3,0
04_7.0,4,0
04_7.0,5,0
04_7.0,6,0
04_7.0,7,0
04_7.0,8,0
04_7.0,9,0
04_6.2,1,0
04_6.2,2,0
04_6.2,3,0
04_6.2,4,0
04_6.2,5,0
04_6.2,6,0
04_6.2,7,0
04_6.2,8,0
04_6.2,9,0
04_6.2,10,0
07_7.0,1,0
07_7.0,2,0
07_7.0,3,0
07_7.0,4,0
07_7.0,5,0
07_7.0,6,0
07_7.0,7,0
07_7.0,8,0
07_7.0,9,0
07_6.2,1,0
07_6.2,2,15
07_6.2,3,0
07_6.2,4,5
07_6.2,5,5
07_6.2,6,0
07_6.2,7,0
07_6.2,8,4
07_6.2,9,5
07_6.2,10,17
09_7.0,1,8
09_7.0,2,1
09_7.0,3,0
09_7.0,4,0
09_7.0,5,0
09_7.0,6,0
09_7.0,7,0
09_7.0,8,0
09_7.0,9,0
09_6.2,1,0
09_6.2,2,25
09_6.2,3,0
09_6.2,4,12
09_6.2,5,10
09_6.2,6,0
09_6.2,7,0
09_6.2,8,7
09_6.2,9,8
09_6.2,10,35
11_7.0,1,15
11_7.0,2,6
11_7.0,3,0
11_7.0,4,0
11_7.0,5,7
11_7.0,6,0
11_7.0,7,3
11_7.0,8,0
11_7.0,9,3
11_6.2,1,0
11_6.2,2,31
11_6.2,3,1
11_6.2,4,14
11_6.2,5,11
11_6.2,6,4
11_6.2,7,4
11_6.2,8,6
11_6.2,9,5
11_6.2,10,45
14_7.0,1,25
14_7.0,2,28
14_7.0,3,1
14_7.0,4,3
14_7.0,5,47
14_7.0,6,11
14_7.0,7,12
14_7.0,8,11
14_7.0,9,32
14_6.2,1,1
14_6.2,2,60
14_6.2,3,3
14_6.2,4,25
14_6.2,5,13
14_6.2,6,27
14_6.2,7,31
14_6.2,8,29
14_6.2,9,17
14_6.2,10,70
16_7.0,1,31
16_7.0,2,30
16_7.0,3,1
16_7.0,4,4
16_7.0,5,0
16_7.0,6,26
16_7.0,7,22
16_7.0,8,20
16_7.0,9,35
16_6.2,1,2
16_6.2,2,65
16_6.2,3,5
16_6.2,4,16
16_6.2,5,18
16_6.2,6,31
16_6.2,7,32
16_6.2,8,37
16_6.2,9,18
16_6.2,10,85
